Job Id,title,skills,description,hourlyRateFrom,hourlyRateTo,fixedPriceEstimate,projectSize,duration,experienceLevel,pricingType,requiredSpecialties,requiredRoles,createdAt
JID_0011,Mid Web Developer,"[""Firebase"", ""Material-UI"", ""Web Developer"", ""GraphQL"", ""shadcn/ui""]","Hey! We're a friendly team looking for a Mid Web Developer. You'll help build backend infrastructure. We value communication, clear code, and honest estimates. Tech we use: Firebase, Material-UI, Web Developer, GraphQL, shadcn/ui. If you like collaborative teams and shipping, apply!

Deliverables: feature set, docs, and onboarding notes.

We care deeply about quality, user privacy, and performance.",102.29,148.4,,Small,Less than 1 month,Expert,hourly,"[""Backend Development"", ""QA & Testing""]","[""Analyst""]",2025-06-24T21:11:12.003095Z
JID_0012,Junior Site Reliability Engineer,"[""GraphQL"", ""AWS"", ""Fastlane"", ""IPFS"", ""Pandas""]","Looking for a Junior Site Reliability Engineer with deep experience in performance optimization. The role focuses on an ML pipeline at scale. Required tech: GraphQL, AWS, Fastlane, IPFS, Pandas. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We have a small team of senior engineers and designers.",113.03,174.78,,Medium,6+ months,Expert,hourly,"[""QA & Testing""]","[""Designer""]",2025-07-23T21:15:56.003188Z
JID_0013,Junior Design Lead,"[""REST API"", ""Svelte"", ""k6"", ""Prometheus"", ""Contract Testing""]","Creative agency: seeking a Junior Design Lead to lead product design for ML models. Responsibilities: user research, wireframes, prototypes, and design systems. Preferred tools: REST API, Svelte, k6, Prometheus, Contract Testing. Present portfolio with case studies.

Deliverables: design system, prototypes, and handoff documentation.

We're remote-first and value async communication.",20.69,36.21,,Medium,3-6 months,Intermediate,hourly,"[""Backend Development"", ""QA & Testing""]","[""Analyst""]",2025-07-15T15:29:53.003273Z
JID_0014,Senior Blockchain Developer,"[""SQLite"", ""Node.js Developer"", ""XGBoost"", ""UX/UI Designer"", ""Flask""]","Agency brief: Client needs a Senior Blockchain Developer to deliver a scalable backend. The contractor should be comfortable with quick turnarounds, client-facing calls, and iterative feedback. Tech stack: SQLite, Node.js Developer, XGBoost, UX/UI Designer, Flask. Provide examples of similar partner and an estimated timeline.

Deliverables: functional deliverable, QA report, and deployment guide.

We're remote-first and value async communication.",,,67928.65,Small,3-6 months,Intermediate,fixed,"[""Blockchain / Web3""]","[""Developer"", ""Architect""]",2025-05-31T03:54:30.003345Z
JID_0015,Senior Web3 Developer,"[""Realm"", ""PostgreSQL"", ""Elasticsearch"", ""Terraform"", ""Supabase""]","Senior Web3 Developer needed. Scope: a scalable backend. Stack: Realm, PostgreSQL, Elasticsearch, Terraform, Supabase. Deliverables include working code, tests, and documentation. Provide timeline and relevant examples.

We're profitable and focused on product-market fit.",66.15,124.36,,Small,Less than 1 month,Senior,hourly,"[""Frontend Development""]","[""Analyst"", ""Engineer""]",2025-09-13T01:46:22.003439Z
JID_0016,Senior Blockchain Developer,"[""Supabase"", ""Infrastructure Engineer"", ""SQL"", ""Angular"", ""Crashlytics""]","We're a small, tight-knit startup building web products. We need a Senior Blockchain Developer who can move fast, ship features, and handle uncertainty. You'll own an infra automation pipeline and work directly with the founding team. Familiarity with Supabase, Infrastructure Engineer, SQL, Angular, Crashlytics is required. Expect rapid iteration, weekly demos, and occasional all-hands.

Deliverables: MVP, metrics instrumentation, and a clear handoff.

Note: equity available for the right fit.

We're profitable and focused on product-market fit.",110.7,157.89,,Large,6+ months,Expert,hourly,"[""Frontend Development"", ""Data Science & ML""]","[""Designer"", ""Developer""]",2025-05-21T03:52:41.003511Z
JID_0017,Junior Node.js Developer,"[""Fastlane"", ""GraphQL"", ""Sentry"", ""HTML"", ""React""]","We're hiring a Junior Node.js Developer to improve security and resilience. You'll review architectures, implement secure patterns, and harden our deployments. Must have experience with Fastlane, GraphQL, Sentry, HTML, React and security best practices. Provide prior security audit examples.

Deliverables: audit report, mitigation plan, and code changes.

We're remote-first and value async communication.",,,86597.6,Large,Ongoing / Indefinite,Senior,fixed,"[""Backend Development"", ""DevOps / SRE""]","[""Designer""]",2025-06-14T20:11:57.003605Z
JID_0018,Junior Product Manager,"[""App Store Connect"", ""Infrastructure Engineer"", ""CSS3"", ""CloudBuild"", ""Pytest""]","We're hiring a Junior Product Manager to improve security and resilience. You'll review architectures, implement secure patterns, and harden our deployments. Must have experience with App Store Connect, Infrastructure Engineer, CSS3, CloudBuild, Pytest and security best practices. Provide prior security audit examples.

Deliverables: audit report, mitigation plan, and code changes.

We care deeply about quality, user privacy, and performance.",37.2,53.97,,Medium,1-3 months,Intermediate,hourly,"[""Backend Development"", ""Frontend Development""]","[""Analyst""]",2025-08-11T16:30:03.003692Z
JID_0019,Intermediate DevOps Engineer,"[""Google Play Console"", ""TensorFlow"", ""XGBoost"", ""CloudBuild"", ""Python Backend Engineer""]","We are seeking a Intermediate DevOps Engineer to join our bootstraped logistics team. The successful candidate will work on payments, producing maintainable, tested, and documented code. This role requires experience with Google Play Console, TensorFlow, XGBoost, CloudBuild, Python Backend Engineer. You will collaborate with product managers and engineers, participate in design reviews, and ensure code quality.

Scope: an infra automation pipeline

Deliverables: Production-ready dashboard with tests, CI/CD and documentation.

Communication: Weekly synchronous updates and daily async notes.

Why us: We have raised seed funding and are scaling rapidly.",26.27,34.24,,Small,1-3 months,Intermediate,hourly,"[""Data Science & ML""]","[""Architect"", ""Designer""]",2025-09-14T18:01:54.003772Z
JID_0020,Mid Node.js Developer,"[""Crashlytics"", ""GKE"", ""CI/CD"", ""UI Engineer"", ""Formal Verification""]","We're hiring a Mid Node.js Developer to improve security and resilience. You'll review architectures, implement secure patterns, and harden our deployments. Must have experience with Crashlytics, GKE, CI/CD, UI Engineer, Formal Verification and security best practices. Must have experience with Crashlytics, GKE, CI/CD, UI Engineer, Formal Verification and security best practices. Provide prior security audit examples.

Deliverables: audit report, mitigation plan, and code changes.

We care deeply about quality, user privacy, and performance.",,,5556.49,Large,Ongoing / Indefinite,Junior,fixed,"[""Product / Design"", ""DevOps / SRE""]","[""Engineer"", ""Designer""]",2025-05-23T09:02:23.003846Z
JID_0021,Junior QA Engineer,"[""Sentry"", ""Docker"", ""Elasticsearch"", ""Backend Developer"", ""MySQL""]","Join our product team as a Junior QA Engineer. You'll translate product requirements into technical designs and implement a scalable backend. Collaboration with designers and PMs is key. Required: Sentry, Docker, Elasticsearch, Backend Developer, MySQL. Experience with A/B testing and analytics preferred.

Deliverables: feature implementation, metrics dashboard, and rollout plan.

We have a small team of senior engineers and designers.",11.14,16.98,,Small,1-3 months,Entry,hourly,"[""QA & Testing"", ""Blockchain / Web3""]","[""Analyst""]",2025-10-08T20:42:28.003933Z
JID_0022,Junior Data Scientist,"[""Backend Developer"", ""HTML5"", ""Smart Contract Engineer"", ""IPFS"", ""CSS""]","Junior Data Scientist needed. Scope: an infra automation pipeline. Stack: Backend Developer, HTML5, Smart Contract Engineer, IPFS, CSS. Deliverables include working code, tests, and documentation. Provide timeline and relevant examples.

We're profitable and focused on product-market fit.",,,35180.87,Large,Ongoing / Indefinite,Mid,fixed,"[""Backend Development"", ""Data Science & ML""]","[""Designer"", ""Developer""]",2025-06-15T17:16:58.004038Z
JID_0023,Senior ML Researcher,"[""API Engineer"", ""Spring Boot"", ""Google Play Console"", ""Fastlane"", ""Flutter Developer""]","Agency brief: Client needs a Senior ML Researcher to deliver an ML pipeline. The contractor should be comfortable with quick turnarounds, client-facing calls, and iterative feedback. Tech stack: API Engineer, Spring Boot, Google Play Console, Fastlane, Flutter Developer. Provide examples of similar work and an estimated timeline.

Deliverables: functional deliverable, QA report, and deployment guide.

We're profitable and focused on product-market fit.",107.15,162.91,,Large,1-3 months,Expert,hourly,"[""Frontend Development""]","[""Designer""]",2025-05-30T15:02:57.004122Z
JID_0024,Intermediate Android Developer,"[""Go Engineer"", ""GKE"", ""Web3.js"", ""Android Developer"", ""Express""]","Look, we've been burned before. We're hiring a Intermediate Android Developer to actually get things done — no excuses. You'll implement a cross-platform mobile app, fix our slow endpoints, and make the codebase readable. We need someone with strong Go Engineer, GKE, Web3.js, Android Developer, Express experience. If you're flaky, don't apply.

Must complete: working feature, tests, and a knowledge transfer.

We have a small team of senior engineers and designers.",14.67,28.01,,Small,1-3 months,Entry,hourly,"[""QA & Testing"", ""Data Science & ML""]","[""Engineer"", ""Developer""]",2025-06-28T09:05:21.004203Z
JID_0025,Junior Infrastructure Engineer,"[""Node.js Developer"", ""Flask"", ""Webpack"", ""UX/UI Designer"", ""Site Reliability Engineer""]","We are seeking a Junior Infrastructure Engineer to join our growth-stage fintech team. The successful candidate will work on backend infrastructure, producing maintainable, tested, and documented code. This role requires experience with Node.js Developer, Flask, Webpack, UX/UI Designer, Site Reliability Engineer. You will collaborate with product managers and engineers, participate in design reviews, and ensure code quality.

Scope: an ML pipeline

Deliverables: Production-ready dashboard with tests, CI/CD and documentation.

Communication: Weekly synchronous updates and daily async notes.

Why us: We have a small team of senior engineers and designers.",63.58,97.88,,Medium,Less than 1 month,Senior,hourly,"[""Mobile Development""]","[""Designer""]",2025-08-17T06:47:52.004294Z
JID_0026,Intermediate SDET,"[""Python Backend Engineer"", ""Terraform"", ""Jetpack Compose"", ""Infrastructure Engineer"", ""HTML5""]","We're hiring a Intermediate SDET to improve security and resilience. You'll review architectures, implement secure patterns, and harden our deployments. Must have experience with Python Backend Engineer, Terraform, Jetpack Compose, Infrastructure Engineer, HTML5 and security best practices. Provide prior security audit examples.

Deliverables: audit report, mitigation plan, and code changes.

We're remote-first and value async communication.",25.22,39.09,,Large,1-3 months,Intermediate,hourly,"[""QA & Testing""]","[""Developer"", ""Analyst""]",2025-09-23T02:02:04.004371Z
JID_0027,Intermediate Go Engineer,"[""Node.js"", ""Go"", ""Flutter Developer"", ""Web3.js"", ""SDET""]","Intermediate Go Engineer needed. Scope: an infra automation pipeline. Stack: Node.js, Go, Flutter Developer, Web3.js, SDET. Deliverables include working code, tests, and documentation. Provide timeline and relevant examples.

We're remote-first and value async communication.",12.41,17.88,,Large,1-3 months,Entry,hourly,"[""Frontend Development"", ""Backend Development""]","[""Architect""]",2025-07-17T17:28:01.004452Z
JID_0028,Junior UI Engineer,"[""Express"", ""k6"", ""Spring Boot"", ""Python"", ""Frontend Developer""]","We're building a Web3 product and need a Junior UI Engineer to implement smart contracts and integration with off-chain services. Scope: an ML pipeline. Required: Express, k6, Spring Boot, Python, Frontend Developer. Security-conscious candidates only; audits and formal verification experience a plus.

Deliverables: audited contracts, integration tests, and deployment scripts.

We have a small team of senior engineers and designers.",17.27,28.51,,Medium,Ongoing / Indefinite,Junior,hourly,"[""Blockchain / Web3"", ""Mobile Development""]","[""Analyst"", ""Architect""]",2025-06-03T12:38:08.004525Z
JID_0029,Junior Blockchain Developer,"[""Django"", ""TailwindCSS"", ""Blockchain Developer"", ""SDET"", ""Selenium""]","We are seeking a Junior Blockchain Developer to join our growth-stage e-commerce team. The successful candidate will work on user-facing mobile apps, producing maintainable, tested, and documented code. This role requires experience with Django, TailwindCSS, Blockchain Developer, SDET, Selenium. You will collaborate with product managers and engineers, participate in design reviews, and ensure code quality.

Scope: an ML pipeline

Deliverables: Production-ready integration with tests, CI/CD and documentation.

Communication: Weekly synchronous updates and daily async notes.

Why us: We're profitable and focused on product-market fit.",,,4980.64,Small,1-3 months,Senior,fixed,"[""Frontend Development""]","[""Analyst""]",2025-06-23T08:01:30.004602Z
JID_0030,Mid API Engineer,"[""Flask"", ""Go"", ""k6"", ""Jest"", ""GKE""]","We're building a Web3 product and need a Mid API Engineer to implement smart contracts and integration with off-chain services. Scope: an infra automation pipeline. Required: Flask, Go, k6, Jest, GKE. Security-conscious candidates only; audits and formal verification experience a plus.

Deliverables: audited contracts, integration tests, and deployment scripts.

We have raised seed funding and are scaling rapidly.",70.87,138.64,,Medium,Ongoing / Indefinite,Expert,hourly,"[""Blockchain / Web3"", ""Mobile Development""]","[""Developer"", ""Designer""]",2025-06-01T17:14:12.004689Z
JID_0031,Senior Android Developer,"[""FastAPI"", ""HTML"", ""Android Developer"", ""Data Scientist"", ""Hardhat""]","Looking for a Senior Android Developer with deep experience in performance optimization. The role focuses on a scalable backend at scale. Required tech: FastAPI, HTML, Android Developer, Data Scientist, Hardhat. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We care deeply about quality, user privacy, and performance.",31.73,46.56,,Small,6+ months,Intermediate,hourly,"[""Product / Design""]","[""Designer"", ""Engineer""]",2025-07-21T03:59:30.004782Z
JID_0032,Intermediate Flutter Developer,"[""Go"", ""Framer"", ""Crashlytics"", ""Helm"", ""Backend Developer""]","This project is research-focused. We're looking for a Intermediate Flutter Developer to prototype and evaluate payments. Responsibilities include data collection, model training, and experimental analysis. Required skills: Go, Framer, Crashlytics, Helm, Backend Developer. You'll document the methodology and provide reproducible pipelines.

Deliverables: reproducible code, evaluation report, and presentation.

We have raised seed funding and are scaling rapidly.",12.84,25.48,,Medium,3-6 months,Entry,hourly,"[""Backend Development""]","[""Designer""]",2025-09-02T13:58:11.004866Z
JID_0033,Senior Go Engineer,"[""Spring Boot"", ""Blockchain Developer"", ""Cypress"", ""Scikit-learn"", ""Go""]","We're a small, tight-knit startup building user-facing mobile apps. We need a Senior Go Engineer who can move fast, ship features, and handle uncertainty. You'll own an ML pipeline and work directly with the founding team. Familiarity with Spring Boot, Blockchain Developer, Cypress, Scikit-learn, Go is required. Expect rapid iteration, weekly demos, and occasional all-hands.

Deliverables: MVP, metrics instrumentation, and a clear handoff.

Note: equity available for the right fit.

We have a small team of senior engineers and designers.",,,1163.49,Small,Less than 1 month,Junior,fixed,"[""Product / Design"", ""Backend Development""]","[""Engineer"", ""Developer""]",2025-07-28T19:08:54.004936Z
JID_0034,Senior Smart Contract Engineer,"[""PostgreSQL"", ""Android Developer"", ""TensorFlow"", ""Swift"", ""Smart Contract Engineer""]","We're a small, tight-knit startup building web products. We need a Senior Smart Contract Engineer who can move fast, ship features, and handle uncertainty. You'll own an infra automation pipeline and work directly with the founding team. Familiarity with PostgreSQL, Android Developer, TensorFlow, Swift, Smart Contract Engineer is required. Expect rapid iteration, weekly demos, and occasional all-hands.

Deliverables: MVP, metrics instrumentation, and a clear handoff.

Note: equity available for the right fit.

We're remote-first and value async communication.",100.01,187.39,,Large,Less than 1 month,Expert,hourly,"[""Product / Design""]","[""Designer"", ""Analyst""]",2025-05-07T22:13:38.005013Z
JID_0035,Junior Product Manager,"[""MySQL"", ""GCP"", ""Svelte"", ""SwiftUI"", ""Smart Contract Engineer""]","We're building a Web3 product and need a Junior Product Manager to implement smart contracts and integration with off-chain services. Scope: a cross-platform mobile app. Required: MySQL, GCP, Svelte, SwiftUI, Smart Contract Engineer. Security-conscious candidates only; audits and formal verification experience a plus.

Deliverables: audited contracts, integration tests, and deployment scripts.

We're remote-first and value async communication.",,,52409.73,Medium,3-6 months,Expert,fixed,"[""QA & Testing"", ""Blockchain / Web3""]","[""Analyst"", ""Designer""]",2025-05-19T03:22:28.005112Z
JID_0036,Senior DevOps Engineer,"[""MongoDB"", ""Kubernetes"", ""PyTorch"", ""Supabase"", ""TypeScript""]","Hey! We're a friendly team looking for a Senior DevOps Engineer. You'll help build data pipelines. We value communication, clear code, and honest estimates. Tech we use: MongoDB, Kubernetes, PyTorch, Supabase, TypeScript. If you like collaborative teams and shipping, apply!

Deliverables: feature set, docs, and onboarding notes.

We have a small team of senior engineers and designers.",30.64,44.47,,Small,3-6 months,Intermediate,hourly,"[""Backend Development""]","[""Engineer""]",2025-05-31T12:57:46.005204Z
JID_0037,Junior Web3 Developer,"[""Redis"", ""Cypress"", ""Framer"", ""CI/CD"", ""BigQuery""]","We're a small, tight-knit startup building web products. We need a Junior Web3 Developer who can move fast, ship features, and handle uncertainty. You'll own a performant frontend and collaborate directly with the founding team. Familiarity with Redis, Cypress, Framer, CI/CD, BigQuery is required. Expect rapid iteration, weekly demos, and occasional all-hands.

Deliverables: MVP, metrics instrumentation, and a clear handoff.

Note: equity available for the right fit.

We care deeply about quality, user privacy, and performance.",67.17,91.83,,Large,6+ months,Senior,hourly,"[""Data Science & ML"", ""Blockchain / Web3""]","[""Developer"", ""Architect""]",2025-05-28T09:35:51.005285Z
JID_0038,Senior ML Researcher,"[""Elasticsearch"", ""CloudBuild"", ""Realm"", ""DevOps Engineer"", ""App Store Connect""]","Looking for a Senior ML Researcher with deep experience in performance optimization. The role focuses on a cross-platform mobile app at scale. Required tech: Elasticsearch, CloudBuild, Realm, DevOps Engineer, App Store Connect. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We're remote-first and value async communication.",,,13329.72,Medium,6+ months,Intermediate,fixed,"[""Frontend Development""]","[""Designer"", ""Architect""]",2025-09-22T18:27:52.005381Z
JID_0039,Senior Site Reliability Engineer,"[""Docker"", ""MySQL"", ""Data Scientist"", ""Web Developer"", ""QA Engineer""]","Senior Site Reliability Engineer needed. Scope: a cross-platform mobile app. Stack: Docker, MySQL, Data Scientist, Web Developer, QA Engineer. Deliverables include working code, tests, and documentation. Provide timeline and relevant examples.

We're profitable and focused on product-market fit.",,,13763.79,Large,6+ months,Intermediate,fixed,"[""Product / Design"", ""QA & Testing""]","[""Analyst""]",2025-06-07T17:31:35.005450Z
JID_0040,Senior Mobile Engineer,"[""Kubernetes"", ""SageMaker"", ""Firebase"", ""Ethers.js"", ""Accessibility""]","This project is research-focused. We're looking for a Senior Mobile Engineer to prototype and evaluate web products. Responsibilities include data collection, model training, and experimental analysis. Required skills: Kubernetes, SageMaker, Firebase, Ethers.js, Accessibility. You'll document the methodology and provide reproducible pipelines.

Deliverables: reproducible code, evaluation report, and presentation.

We have a small team of senior engineers and designers.",,,18419.88,Small,3-6 months,Senior,fixed,"[""Blockchain / Web3""]","[""Analyst"", ""Developer""]",2025-09-23T06:41:51.005528Z
JID_0041,Senior Frontend Developer,"[""AWS"", ""API Engineer"", ""Framer"", ""Data Engineer"", ""Solidity""]","Hey! We're a friendly team looking for a Senior Frontend Developer. You'll help build user-facing mobile apps. We value communication, clear code, and honest estimates. Tech we use: AWS, API Engineer, Framer, Data Engineer, Solidity. Tech we use: AWS, API Engineer, Framer, Data Engineer, Solidity. If you like collaborative teams and shipping, apply!

Deliverables: feature set, docs, and onboarding notes.

We have a small team of senior engineers and designers.",,,52058.61,Large,Less than 1 month,Senior,fixed,"[""Blockchain / Web3"", ""QA & Testing""]","[""Designer"", ""Architect""]",2025-09-10T14:55:14.005614Z
JID_0042,Junior Backend Developer,"[""GCP"", ""App Store Connect"", ""Design Lead"", ""DevOps Engineer"", ""Formal Verification""]","Look, we've been burned before. We're hiring a Junior Backend Developer to actually get things done — no excuses. We're hiring a Junior Backend Developer to actually get things done — no excuses. You'll implement a cross-platform mobile app, fix our slow endpoints, and make the codebase readable. We need someone with strong GCP, App Store Connect, Design Lead, DevOps Engineer, Formal Verification experience. If you're flaky, don't apply.

Must deliver: working feature, tests, and a knowledge transfer.

We're profitable and focused on product-market fit.",17.71,34.39,,Small,Less than 1 month,Junior,hourly,"[""Backend Development""]","[""Engineer"", ""Developer""]",2025-08-12T17:18:53.005693Z
JID_0043,Junior Machine Learning Engineer,"[""Terraform"", ""Android Developer"", ""EKS"", ""XGBoost"", ""k6""]","We are seeking a Junior Machine Learning Engineer to join our well-funded Small SaaS team. The successful candidate will work on web products, producing maintainable, tested, and documented code. This role requires experience with Terraform, Android Developer, EKS, XGBoost, k6. You will collaborate with product managers and engineers, participate in design reviews, and ensure code quality.

Scope: an ML pipeline

Deliverables: Production-ready MVP with tests, CI/CD and documentation.

Communication: Weekly synchronous updates and daily async notes.

Why us: We have raised seed funding and are scaling rapidly.",67.5,121.68,,Small,6+ months,Senior,hourly,"[""Data Science & ML""]","[""Analyst"", ""Developer""]",2025-07-29T02:13:31.005774Z
JID_0044,Senior Mobile Engineer,"[""Frontend Developer"", ""Site Reliability Engineer"", ""SageMaker"", ""Fastlane"", ""Redis""]","Looking for a Senior Mobile Engineer with deep experience in performance optimization. The role focuses on a performant frontend at scale. Required tech: Frontend Developer, Site Reliability Engineer, SageMaker, Fastlane, Redis. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We care deeply about quality, user privacy, and performance.",,,44133.07,Small,3-6 months,Expert,fixed,"[""DevOps / SRE"", ""Backend Development""]","[""Analyst""]",2025-06-20T12:30:36.005847Z
JID_0045,Senior Machine Learning Engineer,"[""React Engineer"", ""SDET"", ""Site Reliability Engineer"", ""Firebase"", ""Python""]","Join our product team as a Senior Machine Learning Engineer. You'll translate product requirements into technical designs and implement a performant frontend. Collaboration with designers and PMs is key. Required: React Engineer, SDET, Site Reliability Engineer, Firebase, Python. Experience with A/B testing and analytics preferred.

Deliverables: feature implementation, metrics dashboard, and rollout plan.

We have raised seed funding and are scaling rapidly.",58.39,80.84,,Small,6+ months,Senior,hourly,"[""QA & Testing""]","[""Designer"", ""Engineer""]",2025-09-05T05:20:32.005918Z
JID_0046,Senior Data Scientist,"[""UI Engineer"", ""Node.js"", ""Realm"", ""Prometheus"", ""CSS""]","Looking for a Senior Data Scientist with deep experience in performance optimization. The role focuses on a performant frontend at scale. Required tech: UI Engineer, Node.js, Realm, Prometheus, CSS. You should be comfortable with profiling, benchmarking, and capacity planning.

Deliverables: optimized system, benchmark reports, and monitoring dashboards.

We have raised seed funding and are scaling rapidly.",13.94,20.61,,Small,6+ months,Entry,hourly,"[""Mobile Development""]","[""Architect"", ""Developer""]",2025-07-27T17:12:52.006028Z
